# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.554081559181213379e-01 2.818230167031288147e-02 9.475081562995910645e-01 0.000000000000000000e+00
1.000000000000000000e+03 3.166271781083196402e-04 3.518468700349330902e-03 2.626994682941585779e-04 0.000000000000000000e+00
2.000000000000000000e+03 2.919347316492348909e-04 2.155420603230595589e-03 2.206878998549655080e-04 0.000000000000000000e+00
3.000000000000000000e+03 3.790987248066812754e-04 1.521691214293241501e-03 2.824743860401213169e-04 0.000000000000000000e+00
4.000000000000000000e+03 2.121540019288659096e-04 6.984644569456577301e-04 1.599755632923915982e-04 0.000000000000000000e+00
5.000000000000000000e+03 2.133933885488659143e-04 4.003490612376481295e-04 1.877248287200927734e-04 0.000000000000000000e+00
5.000000000000000000e+03 2.133933885488659143e-04 4.003490612376481295e-04 1.877248287200927734e-04 0.000000000000000000e+00
6.000000000000000000e+03 1.894430351967457682e-05 1.428624091204255819e-04 1.877248287200927734e-04 0.000000000000000000e+00
7.000000000000000000e+03 1.974806036741938442e-05 9.855650569079443812e-05 1.877248287200927734e-04 0.000000000000000000e+00
8.000000000000000000e+03 1.447524209652328864e-05 7.942804222693666816e-05 1.877248287200927734e-04 0.000000000000000000e+00
9.000000000000000000e+03 1.576360591570846736e-05 5.537357719731517136e-05 1.877248287200927734e-04 0.000000000000000000e+00
9.666000000000000000e+03 1.479376533097820356e-05 4.503786840359680355e-05 2.618212238303385675e-05 0.000000000000000000e+00
